hash	dist	omega	phi1	phi2	psi1	psi2	ids	idcount	id_unique
9899899617537	9	1	0	0	1	1	3:2,1:4,2:4	10	3
5497558139141	5	0	0	0	1	5	1:1,2:2	3	2
8804716511491	8	2	2	0	1	3	0:1,3:5,2:3,1:2	11	4
7700910047490	7	1	2	2	1	2	1:1	1	1
10999411311106	10	1	0	1	2	2	2:1,1:2,3:1,0:1	5	4
7696614949122	7	0	2	0	1	2	0:1,3:6,2:3	10	3
9895621493764	9	0	1	1	4	4	2:2	2	1
8804683022596	8	2	0	1	1	4	3:2	2	1
6601364734724	6	1	0	0	3	4	3:1	1	1
5497558139653	5	0	0	0	3	5	0:1,1:1	2	2
5506181694210	5	2	2	1	3	2	3:1	1	1
8796093022721	8	0	0	0	2	1	1:9,2:8,3:12,0:7	36	4
10995133055748	10	0	1	0	3	4	0:1	1	1
4398080066819	4	0	2	0	5	3	1:1	1	1
10995116278021	10	0	0	0	1	5	3:1	1	1
7696615080705	7	0	2	2	3	1	1:2,0:1,2:3,3:2	8	4
7696581526277	7	0	0	2	3	5	1:1	1	1
6597069832964	6	0	0	1	3	4	1:1	1	1
8796109799683	8	0	1	0	1	3	1:1,0:1,3:1	3	3
7700876493059	7	1	0	2	1	3	1:1,2:2,3:1	4	3
9899916394754	9	1	1	0	1	2	0:1	1	1
8804716642565	8	2	2	2	1	5	2:1	1	1
4406670000898	4	2	2	0	3	2	2:1,3:2	3	2
6601364865538	6	1	0	2	2	2	3:1,0:1	2	2
6601398289153	6	1	2	0	3	1	0:1,2:1	2	2
7705171395330	7	2	0	1	3	2	3:1,1:2,2:1	4	3
9899933171968	9	1	2	0	1	0	2:1	1	1
9904194585088	9	2	0	0	2	0	2:1	1	1
5497574917377	5	0	1	0	5	1	2:1	1	1
6597086675970	6	0	1	2	4	2	0:1,1:1,2:1	3	3
9895621427456	9	0	1	0	1	0	2:1,3:1	2	2
7696615015684	7	0	2	1	5	4	0:1	1	1
8800387990019	8	1	0	0	2	3	3:2,0:1,1:1	4	3
8804716577024	8	2	2	1	1	0	1:1	1	1
3307158437892	3	2	2	1	0	4	2:1	1	1
8800404898816	8	1	1	2	4	0	2:1	1	1
6597069767171	6	0	0	0	2	3	1:8,3:8,2:5,0:10	31	4
4406653222914	4	2	1	0	0	2	2:1,0:1	2	2
6597086544386	6	0	1	0	2	2	2:4,0:2,3:4,1:2	12	4
8804716642820	8	2	2	2	2	4	1:1,0:1,2:1	3	3
5497591824899	5	0	2	2	2	3	2:2,1:1	3	2
9895638205698	9	0	2	0	5	2	3:1	1	1
9904228140034	9	2	2	0	4	2	3:1	1	1
9904228139777	9	2	2	0	3	1	3:1	1	1
5501853172484	5	1	0	1	3	4	3:1	1	1
3307158503683	3	2	2	2	1	3	3:1	1	1
9899933172228	9	1	2	0	2	4	3:2,0:1	3	2
9904228139778	9	2	2	0	3	2	2:1	1	1
9895621494020	9	0	1	1	5	4	1:1	1	1
