A0AVI4	reviewed	TM129_HUMAN	E3 ubiquitin-protein ligase TM129 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TM129)	TMEM129	Homo sapiens (Human)	362
A0PJY2	reviewed	FEZF1_HUMAN	Fez family zinc finger protein 1 (Zinc finger protein 312B)	FEZF1 FEZ ZNF312B	Homo sapiens (Human)	475
A1A519	reviewed	F170A_HUMAN	Protein FAM170A (Zinc finger domain-containing protein) (Zinc finger protein ZNFD)	FAM170A ZNFD	Homo sapiens (Human)	330
A2A288	reviewed	ZC12D_HUMAN	Probable ribonuclease ZC3H12D (EC 3.1.-.-) (MCP-induced protein 4) (Transformed follicular lymphoma) (Zinc finger CCCH domain-containing protein 12D) (p34)	ZC3H12D C6orf95 MCPIP4 TFL	Homo sapiens (Human)	527
A7E2V4	reviewed	ZSWM8_HUMAN	Zinc finger SWIM domain-containing protein 8	ZSWIM8 KIAA0913	Homo sapiens (Human)	1837
A7MCY6	reviewed	TBKB1_HUMAN	TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1)	TBKBP1 KIAA0775 SINTBAD	Homo sapiens (Human)	615
A7XYQ1	reviewed	SOBP_HUMAN	Sine oculis-binding protein homolog (Jackson circler protein 1)	SOBP JXC1	Homo sapiens (Human)	873
A8K8V0	reviewed	ZN785_HUMAN	Zinc finger protein 785	ZNF785	Homo sapiens (Human)	405
A8MQ27	reviewed	NEU1B_HUMAN	E3 ubiquitin-protein ligase NEURL1B (EC 2.3.2.27) (Neuralized-2) (NEUR2) (Neuralized-like protein 1B) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL1B)	NEURL1B NEURL3	Homo sapiens (Human)	555
A8MW92	reviewed	P20L1_HUMAN	PHD finger protein 20-like protein 1	PHF20L1 CGI-72	Homo sapiens (Human)	1017
B2RTY4	reviewed	MYO9A_HUMAN	Unconventional myosin-IXa (Unconventional myosin-9a)	MYO9A MYR7	Homo sapiens (Human)	2548
